,0
0,100.0
1,100.22971712432704
2,100.14320170262177
3,100.06850693709043
4,99.91676625934502
5,100.03915337998224
6,99.71366665603678
7,99.96042030211109
8,99.85276938980931
9,99.89788833146643
10,99.86262203476102
11,100.06939532218325
12,99.7780474290064
13,99.73245075074057
14,99.67813726303451
15,99.83847647523001
16,99.68292836049288
17,99.65854332952753
18,99.53439540148075
19,99.54036532679312
20,99.62278784475255
21,99.46713678801031
22,99.62902516757283
23,99.75652935005004
24,99.82759278095912
25,99.95499305107855
26,99.85829932993688
27,99.84092002757573
28,99.7085822450574
29,99.67069714951688
30,99.74570073891087
31,99.64788513734575
32,99.59177571548584
33,99.49459482026568
34,99.3750646921455
35,99.2801361539535
36,99.2783451091982
37,99.12033356435622
38,99.15348495026483
39,99.38821642523735
40,99.49315731681416
41,99.46602767282465
42,99.34049798088826
43,99.23483384166207
44,99.47418306670949
45,99.48136836829728
46,99.39128358004218
47,99.41828310681056
48,99.71530403665578
49,99.73229707867979
50,99.8195827795285
51,99.86203327327884
52,99.81221762225334
53,99.65064114916325
54,99.60123662756799
55,99.57169452177398
56,99.65465556907122
57,99.77330574132196
58,99.9049834604553
59,99.94537160731694
60,100.07054947122958
61,99.9638614912712
62,100.14104380497083
63,100.2135830358289
64,100.17142634280405
65,100.24051324163392
66,100.22982578748531
67,100.38986235021669
68,100.60479690562738
69,100.91388394377822
70,100.71638953803306
71,100.51216100510818
72,100.44081875859487
73,100.46345141800442
74,100.58736041512167
75,100.63199793743647
76,100.3460154989099
77,100.3027117121587
78,100.41980500904631
79,100.4523453185846
80,100.56010997317233
81,100.52866802571465
82,100.50027654733098
83,100.52666031226606
84,100.5846503723416
85,100.61269418770341
86,100.62952455179747
87,100.53467858169327
88,100.58807416442087
89,100.60530229378304
90,100.76503543988817
91,100.934588032481
92,100.96077310415762
93,100.90769979754043
94,100.81736967704825
95,100.87726082295883
96,100.88819836031617
97,100.83957010716972
98,100.84573563379091
99,100.75805427357149
100,100.85677091052708
101,100.7935373824826
102,100.96670892281922
103,101.0237712580317
104,101.10771593782123
105,100.95287201963623
106,100.97682631304217
107,101.0815568107265
108,100.94668317817448
109,100.90903419599998
110,100.91364658942642
111,100.71945847572418
112,100.76402874437773
113,100.88369393075384
114,100.76214002069379
115,100.81171470842
116,100.62612980863508
117,100.62065743723439
118,100.39215271946149
119,100.55074513266871
120,100.6085724013099
121,100.60509103802352
122,100.4954666305375
123,100.67560292169588
124,100.95379311893227
125,100.69103480379788
126,100.86585479751629
127,101.09603937450728
128,101.14384144706092
129,100.97423933543602
130,101.09633480114424
131,101.07074880665348
132,100.98534153241127
133,100.81138504261452
134,100.88924280195496
135,101.00136262416753
136,100.91318206272057
137,100.98680267433453
138,100.82496836301553
139,100.93836863765662
140,100.94495424815608
141,100.91856929798006
142,100.90418025869543
143,101.02705931743503
144,101.133183549281
145,101.20806125353158
146,101.22753514540493
147,101.23854071485826
148,101.32599289018047
149,101.35887258605733
150,101.45539993171779
151,101.41154279701493
152,101.06720473819708
153,101.21411672228471
154,101.5234023500232
155,101.5858207082276
156,101.57165661930239
157,101.55236041856917
158,101.53552361386832
159,101.5379856760014
160,101.37930826565835
161,101.30618006611648
162,101.1651791799452
163,101.20036469477937
164,101.15841330069529
165,101.22844675775633
166,101.2037399999666
167,101.34322885993286
168,101.37342711386236
169,101.68323884064196
170,101.41505290701127
171,101.32356507158572
172,101.45105457043283
173,101.80861382089904
174,101.77345155342675
175,101.77962728166756
176,101.74762161455547
177,101.93591808518941
178,101.89528661747899
179,101.99146301657063
180,101.94623624072753
181,101.76626925566897
182,101.81061159954203
183,101.88177267829607
184,102.06466243652498
185,102.04904286825666
186,101.961734687917
187,102.04132112543846
188,102.07536649151935
189,102.11505852737447
190,102.10471882965236
191,102.26881548391533
192,102.321069644985
193,102.59042906268779
194,102.74755620785476
195,102.84075992384717
196,102.61060538652463
197,102.69578619603192
198,102.75522307527409
199,102.86990896068488
200,103.01761537822972
